candidate,temperature_c,current_a,total_reward,progress_reward,thermal_penalty,time_penalty,smoothness_penalty,safety_penalty
Candidate_A2,35.0,120.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,35.0,140.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,35.0,160.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,36.0,120.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,36.0,140.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,36.0,160.0,-0.05,0.0,0.0,0.05,0.0,0.0
Candidate_A2,38.0,120.0,-0.06367192386739344,0.0,0.0,0.05,0.0,0.0
Candidate_A2,38.0,140.0,-0.06860892681619159,0.0,0.0,0.05,0.0,0.0
Candidate_A2,38.0,160.0,-0.07430546868018945,0.0,0.0,0.05,0.0,0.0
Candidate_A2,40.0,120.0,-0.10468769546957375,0.0,0.0,0.05,0.0,0.0
Candidate_A2,40.0,140.0,-0.12443570726476634,0.0,0.0,0.05,0.0,0.0
Candidate_A2,40.0,160.0,-0.14722187472075776,0.0,0.0,0.05,0.0,0.0
Candidate_A2,42.0,120.0,-0.273047314806541,0.0,0.0,0.05,0.0,0.0
Candidate_A2,42.0,140.0,-0.3174803413457243,0.0,0.0,0.05,0.0,0.0
Candidate_A2,42.0,160.0,-0.3687492181217049,0.0,0.0,0.05,0.0,0.0
Candidate_A2,45.0,120.0,-0.5768564583147171,0.0,0.0,0.05,0.0,0.0
Candidate_A2,45.0,140.0,-0.6768307680278796,0.0,0.0,0.05,0.0,0.0
Candidate_A2,45.0,160.0,-0.792185740773836,0.0,0.0,0.05,0.0,0.0
Candidate_A3,33.0,120.0,-0.08,0.0,0.0,0.08,0.0,0.0
Candidate_A3,33.0,140.0,-0.08,0.0,0.0,0.08,0.0,0.0
Candidate_A3,33.0,160.0,-0.08,0.0,0.0,0.08,0.0,0.0
Candidate_A3,34.0,120.0,-0.08,0.0,0.0,0.08,0.0,0.0
Candidate_A3,34.0,140.0,-0.08,0.0,0.0,0.08,0.0,0.0
Candidate_A3,34.0,160.0,-0.08,0.0,0.0,0.08,0.0,0.0
Candidate_A3,35.0,120.0,-0.08,0.0,0.0,0.08,0.0,0.0
Candidate_A3,35.0,140.0,-0.08,0.0,0.0,0.08,0.0,0.0
Candidate_A3,35.0,160.0,-0.08,0.0,0.0,0.08,0.0,0.0
Candidate_A3,36.0,120.0,-0.08308472782258065,0.0,0.0,0.08,0.0,0.0
Candidate_A3,36.0,140.0,-0.08419863911290323,0.0,0.0,0.08,0.0,0.0
Candidate_A3,36.0,160.0,-0.08548392137096775,0.0,0.0,0.08,0.0,0.0
Candidate_A3,38.0,120.0,-0.10776255040322581,0.0,0.0,0.08,0.0,0.0
Candidate_A3,38.0,140.0,-0.11778775201612904,0.0,0.0,0.08,0.0,0.0
Candidate_A3,38.0,160.0,-0.12935529233870968,0.0,0.0,0.08,0.0,0.0
Candidate_A3,40.0,120.0,-0.15711819556451612,0.0,0.0,0.08,0.0,0.0
Candidate_A3,40.0,140.0,-0.18496597782258067,0.0,0.0,0.08,0.0,0.0
Candidate_A3,40.0,160.0,-0.21709803427419355,0.0,0.0,0.08,0.0,0.0
Candidate_A3,42.0,120.0,-0.33115166330645157,0.0,0.0,0.08,0.0,0.0
Candidate_A3,42.0,140.0,-0.38573331653225806,0.0,0.0,0.08,0.0,0.0
Candidate_A3,42.0,160.0,-0.4487121471774193,0.0,0.0,0.08,0.0,0.0
Candidate_A3,45.0,120.0,-0.6384727822580645,0.0,0.0,0.08,0.0,0.0
Candidate_A3,45.0,140.0,-0.7498639112903227,0.0,0.0,0.08,0.0,0.0
Candidate_A3,45.0,160.0,-0.8783921370967742,0.0,0.0,0.08,0.0,0.0
