rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/std,train/learning_rate,train/loss,train/explained_variance,seed,candidate,sanity_check_wh_per_km,sanity_check_regen_pct
-48.6129255,1315,20,1799.0,13,26624,-0.0021821523442797,0.2,-1.418630802631378,118.0,0.0028357217,0.0232700892857142,0.5512768301580634,0.9930304884910583,0.0003,0.156708151102066,0.8732798099517822,42,Cand_B3_100k,128.9225,98.87
-46.92230953333333,1315,21,1799.0,14,28672,-0.0017521712958114,0.2,-1.407308627292514,128.0,0.0036279003,0.02451171875,0.3573799324454739,0.9819526076316832,0.0003,0.0802119076251983,0.9090948104858398,42,Cand_B3_100k,128.9225,98.87
-43.45291447058823,1327,23,1799.0,15,30720,-0.0018018119885484,0.2,-1.392863931042133,135.0,0.0065045864,0.0323329207920792,0.3129367152284277,0.966576874256134,0.0003,0.0723544061183929,0.9297474026679992,42,Cand_B3_100k,128.9225,98.87
-42.02834494444444,1361,24,1799.0,16,32768,-0.0009004799926298,0.2,-1.3822872326487587,137.0,0.009451995,0.0412946428571428,0.4311487990475836,0.9615774154663086,0.0003,0.1574368327856063,0.8754513263702393,42,Cand_B3_100k,128.9225,98.87
-40.832529,1359,25,1799.0,17,34816,-0.0007132811129849,0.2,-1.3703630596399308,147.0,0.0039222604,0.0314453125,0.2906818922841921,0.9451797604560852,0.0003,0.0585291944444179,0.9108132123947144,42,Cand_B3_100k,128.9225,98.87
-39.58979765,1353,27,1799.0,18,36864,-0.0010519910523726,0.2,-1.3527765963226557,157.0,0.0037123803,0.0294921875,0.2769681188976392,0.9283766150474548,0.0003,0.1095265746116638,0.8982818722724915,42,Cand_B3_100k,128.9225,98.87
-38.35745828571429,1350,28,1799.0,19,38912,-0.001930671968148,0.2,-1.33924699164927,167.0,0.0030590307,0.03759765625,0.2219874254311435,0.9197010397911072,0.0003,0.1060454472899437,0.907415509223938,42,Cand_B3_100k,128.9225,98.87
-37.03667159090909,1366,29,1799.0,20,40960,-0.0021322298751667,0.2,-1.3340776696685672,172.0,0.02189184,0.0386385658914728,0.2815029975171237,0.9185547828674316,0.0003,0.1653089225292205,0.8753851652145386,42,Cand_B3_100k,128.9225,98.87
-35.671448391304345,1366,31,1799.0,21,43008,-0.0058988582628508,0.2,-1.312689476500685,182.0,0.00741727,0.0428314696485623,0.2321336819959905,0.8828520774841309,0.0003,0.0889931097626686,0.8963620662689209,42,Cand_B3_100k,128.9225,98.87
-33.18676156,1388,32,1799.0,22,45056,-0.0006694786537152,0.2,-1.2929770396305964,184.0,0.006813503,0.03515625,0.2800949671520636,0.8807887434959412,0.0003,0.0695163458585739,0.8988855481147766,42,Cand_B3_100k,128.9225,98.87
-32.03667923076923,1383,34,1799.0,23,47104,-0.0004255952277162,0.2,-1.2916660532355309,194.0,0.0013240346,0.0306640625,0.2908768551424145,0.8812946677207947,0.0003,0.1604264825582504,0.8824886679649353,42,Cand_B3_100k,128.9225,98.87
-31.012306629629627,1387,35,1799.0,24,49152,-0.0018007263947182,0.2,-1.298336294471708,202.0,0.005317899,0.0243055555555555,0.214063747268584,0.890023410320282,0.0003,0.0452197566628456,0.8738967776298523,42,Cand_B3_100k,128.9225,98.87
-30.054022928571424,1386,36,1799.0,25,51200,-9.594719085725956e-05,0.2,-1.3001965533941984,212.0,0.00349767,0.024560546875,0.1386503894114867,0.8839638233184814,0.0003,0.0258182547986507,0.8890154957771301,42,Cand_B3_100k,128.9225,98.87
-29.06865986206896,1394,38,1799.0,26,53248,-0.0007634927587068,0.2,-1.2859394112549258,218.0,0.0049041025,0.0314265536723163,0.1745063526987356,0.8683878779411316,0.0003,0.0763239189982414,0.8791713714599609,42,Cand_B3_100k,128.9225,98.87
-28.118261866666664,1389,39,1799.0,27,55296,-0.0008792735308816,0.2,-1.2670581862330437,228.0,0.0032936656,0.026416015625,0.2896400230703875,0.8519677519798279,0.0003,0.1217583194375038,0.833151638507843,42,Cand_B3_100k,128.9225,98.87
-27.22885483870968,1392,41,1799.0,28,57344,0.0003445668905777,0.2,-1.256044872810966,234.0,0.0038622986,0.0193256578947368,0.2201557350786108,0.8483096957206726,0.0003,0.1244526207447052,0.8289670944213867,42,Cand_B3_100k,128.9225,98.87
-25.580953363636365,1398,42,1799.0,29,59392,-0.0018316245779195,0.2,-1.251382317571413,240.0,0.010766144,0.0372953869047619,0.1425060061516151,0.8440540432929993,0.0003,0.0815657377243042,0.9023056626319884,42,Cand_B3_100k,128.9225,98.87
-24.81081658823529,1407,43,1799.0,30,61440,-0.0003040958676607,0.2,-1.2468217322903294,244.0,0.004336529,0.0307459677419354,0.21577912016261,0.8389098644256592,0.0003,0.1196381598711013,0.8845793008804321,42,Cand_B3_100k,128.9225,98.87
-24.12034422857143,1402,45,1799.0,31,63488,-0.0010829873972397,0.2,-1.2566186856478452,254.0,0.0043458454,0.029052734375,0.1801273323129862,0.8597372770309448,0.0003,0.0335896275937557,0.8816601037979126,42,Cand_B3_100k,128.9225,98.87
-23.419984916666667,1413,46,1799.0,32,65536,-7.840771394879071e-05,0.2,-1.265553314294388,257.0,0.013538339,0.0408115671641791,0.1831366091744223,0.8556129336357117,0.0003,0.0610650815069675,0.8542995452880859,42,Cand_B3_100k,128.9225,98.87
-22.77854127027027,1419,47,1799.0,33,67584,-0.0010605751081032,0.2,-1.2583929562399574,262.0,0.0071613234,0.0277039007092198,0.1740211614321732,0.8483015894889832,0.0003,0.0493341833353042,0.8639059662818909,42,Cand_B3_100k,128.9225,98.87
-22.119658,1423,48,1799.0,34,69632,-0.0012989777440517,0.2,-1.2552920882471927,269.0,0.0074026817,0.0434644670050761,0.1733854159258949,0.8491035103797913,0.0003,0.1642531901597976,0.8894674181938171,42,Cand_B3_100k,128.9225,98.87
-21.52583184615385,1422,50,1799.0,35,71680,0.0007125122451793,0.2,-1.249509141071519,278.0,0.005521824,0.0274020522388059,0.1682027172464043,0.8412356972694397,0.0003,0.1863979697227478,0.850410521030426,42,Cand_B3_100k,128.9225,98.87
