time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/value_loss,train/n_updates,train/std,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/learning_rate,seed,candidate,sanity_check_wh_per_km,sanity_check_regen_pct
1313,61440,46,1799.0,-38.00557079411765,30,0.311739495536625,267.0,0.7714012861251831,-0.0067432528117909,-1.1668788170654505,0.070364932885906,0.9055489897727966,0.2,0.0627050772309303,0.007738979,0.0003,7,Cand_B3_100k,128.5275,99.9625
1328,63488,47,1799.0,-37.036089942857146,31,0.2736804264669235,268.0,0.7702945470809937,-0.0030787995514961,-1.1583758776004498,0.0336538461538461,0.9066416025161744,0.2,0.1388957947492599,0.0029366028,0.0003,7,Cand_B3_100k,128.5275,99.9625
1324,65536,49,1799.0,-36.03178472222223,32,0.1571391303325072,278.0,0.7560634613037109,-0.0035026639292482,-1.1471201155334712,0.04931640625,0.9153406620025636,0.2,0.0070302374660968,0.0051806145,0.0003,7,Cand_B3_100k,128.5275,99.9625
1324,67584,51,1799.0,-35.11385843243244,33,0.1786010533364282,286.0,0.7560124397277832,0.0001850643819789,-1.1375409776256198,0.0494791666666666,0.9097844362258912,0.2,0.0392250530421733,0.0055415123,0.0003,7,Cand_B3_100k,128.5275,99.9625
1320,69632,52,1799.0,-34.212899526315795,34,0.1906367879593745,296.0,0.7396142482757568,-0.003237455515773,-1.127643359825015,0.052197265625,0.8802936673164368,0.2,0.0443626195192337,0.004918418,0.0003,7,Cand_B3_100k,128.5275,99.9625
1331,71680,53,1799.0,-33.3363107948718,35,0.1485056570347617,299.0,0.7382428646087646,-0.0008521400296184,-1.117403647478889,0.0514705882352941,0.9012167453765868,0.2,0.0161630939692258,0.010218942,0.0003,7,Cand_B3_100k,128.5275,99.9625
1340,73728,54,1799.0,-32.500251000000006,36,0.2455076606840723,302.0,0.7346142530441284,0.0017096166524829,-1.1127140985594854,0.0177951388888888,0.8822346925735474,0.2,0.0471672341227531,0.008682726,0.0003,7,Cand_B3_100k,128.5275,99.9625
1343,75776,56,1799.0,-30.86069630952381,37,0.1852649115966727,309.0,0.7375150918960571,0.0015743140618062,-1.111948544328863,0.0318813131313131,0.9135167598724364,0.2,0.143182098865509,0.009880799,0.0003,7,Cand_B3_100k,128.5275,99.9625
1351,77824,57,1799.0,-30.11143623255814,38,0.1870531971448833,313.0,0.7324675917625427,0.0019007995634258,-1.1112393835215892,0.0292779126213592,0.9017580151557922,0.2,0.1034905761480331,0.010173104,0.0003,7,Cand_B3_100k,128.5275,99.9625
1348,79872,59,1799.0,-29.410034818181817,39,0.1193385925726033,323.0,0.7252544164657593,0.0005913100139878,-1.1015891388058665,0.02119140625,0.900122880935669,0.2,0.0412676557898521,0.0040471647,0.0003,7,Cand_B3_100k,128.5275,99.9625
1347,81920,60,1799.0,-28.690020244444444,40,0.1618028930271975,333.0,0.7229953408241272,-7.145115523599088e-05,-1.0953443329781294,0.0314453125,0.9069824814796448,0.2,0.0150349177420139,0.0015497635,0.0003,7,Cand_B3_100k,128.5275,99.9625
1356,83968,61,1799.0,-28.020417500000004,41,0.210848042262452,336.0,0.7200121283531189,-0.0026086154992559,-1.0927732637950351,0.0272321428571428,0.8832350373268127,0.2,0.1816797107458114,0.0068575144,0.0003,7,Cand_B3_100k,128.5275,99.9625
1353,86016,63,1799.0,-27.381909063829788,42,0.14697863063775,346.0,0.7050442695617676,-7.363852200796828e-05,-1.0797073643654584,0.0330078125,0.9029864072799684,0.2,0.0422729849815368,0.004178467,0.0003,7,Cand_B3_100k,128.5275,99.9625
1361,88064,64,1799.0,-26.7336220625,43,0.1499439048979963,350.0,0.7041891813278198,0.0010376810051855,-1.0698026441392443,0.0364583333333333,0.9044643640518188,0.2,0.123101994395256,0.009071583,0.0003,7,Cand_B3_100k,128.5275,99.9625
1359,90112,66,1799.0,-25.62417264,44,0.208949840139775,360.0,0.6926803588867188,0.000624124813337,-1.060054058877249,0.0204861111111111,0.907523512840271,0.2,0.102655217051506,0.004697611,0.0003,7,Cand_B3_100k,128.5275,99.9625
1358,92160,67,1799.0,-25.101093607843133,45,0.1962588260299526,370.0,0.6771833896636963,-0.0005189867522858,-1.039370057359338,0.036083984375,0.8961043357849121,0.2,0.1094378754496574,0.0025456287,0.0003,7,Cand_B3_100k,128.5275,99.9625
1359,94208,69,1799.0,-24.59121790384615,46,0.1018141434580402,379.0,0.6633017063140869,-0.0006583212337023,-1.018905931375396,0.0310299295774647,0.8573058843612671,0.2,0.0665934085845947,0.0029661718,0.0003,7,Cand_B3_100k,128.5275,99.9625
1357,96256,70,1799.0,-24.082814264150944,47,0.1499161778367124,389.0,0.6680562496185303,-0.0008558909757994,-1.0110423594713212,0.025341796875,0.9141587615013124,0.2,0.0082376208156347,0.003642106,0.0003,7,Cand_B3_100k,128.5275,99.9625
1356,98304,72,1799.0,-23.593782629629622,48,0.1335797029139939,399.0,0.6616788506507874,-0.0011769461292715,-1.010131948813796,0.0421875,0.9169528484344482,0.2,0.0916384235024452,0.0054571107,0.0003,7,Cand_B3_100k,128.5275,99.9625
1354,100352,74,1799.0,-23.14021821818182,49,0.1834585946984589,409.0,0.6450696587562561,-0.0003599021903937,-0.9938956236466764,0.022802734375,0.9035761952400208,0.2,0.0166653133928775,0.005095466,0.0003,7,Cand_B3_100k,128.5275,99.9625
