time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/value_loss,train/n_updates,train/std,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/learning_rate,seed,candidate,sanity_check_wh_per_km,sanity_check_regen_pct
1316,32768,24,1799.0,-51.4649603888889,16,0.4167766416445374,150.0,1.0002992153167725,-0.0034024193249933,-1.4216951463371514,0.028515625,0.8768894672393799,0.2,0.105155199766159,0.0041740863,0.0003,21,Cand_B3_100k,129.335,96.6725
1304,34816,26,1799.0,-49.76587231578948,17,0.3011149105150252,160.0,0.9825902581214904,-0.0023538220542832,-1.4095689304172994,0.029541015625,0.9135072827339172,0.2,0.076268084347248,0.0050487965,0.0003,21,Cand_B3_100k,129.335,96.6725
1301,36864,28,1799.0,-48.17554435,18,0.2927801038604229,170.0,0.9655435085296632,-0.0030233214922191,-1.393608882278204,0.03642578125,0.8966810703277588,0.2,0.1353057473897934,0.0022829268,0.0003,21,Cand_B3_100k,129.335,96.6725
1306,38912,29,1799.0,-46.46716928571429,19,0.2455817019462069,178.0,0.940235435962677,-0.0051586341568434,-1.3699414214014491,0.043560606060606,0.916208267211914,0.2,0.0941378325223922,0.009463599,0.0003,21,Cand_B3_100k,129.335,96.6725
1303,40960,31,1799.0,-44.824223454545454,20,0.2816868830937892,188.0,0.9117511510849,-0.0022016912909748,-1.340921250358224,0.03203125,0.8611058592796326,0.2,0.1744810789823532,0.004882738,0.0003,21,Cand_B3_100k,129.335,96.6725
1305,43008,32,1799.0,-43.20699547826087,21,0.2084751185029745,198.0,0.902742326259613,-0.0024589799431851,-1.3214359752833844,0.036328125,0.8861494660377502,0.2,0.0334246009588241,0.0029967367,0.0003,21,Cand_B3_100k,129.335,96.6725
1317,45056,34,1799.0,-40.25219676,22,0.2081303390252856,204.0,0.8912762999534607,-0.0006242326419155,-1.3101412530717902,0.0212115921787709,0.9194518327713012,0.2,0.0681700855493545,0.0069296234,0.0003,21,Cand_B3_100k,129.335,96.6725
1317,47104,35,1799.0,-38.86792865384616,23,0.2712791787227616,214.0,0.8674769401550293,-0.0036260395565477,-1.289046256244183,0.044482421875,0.8807141184806824,0.2,0.1408577114343643,0.0028949152,0.0003,21,Cand_B3_100k,129.335,96.6725
1315,49152,37,1799.0,-37.51191785185185,24,0.1573540021665394,224.0,0.8556537628173828,-0.0010646644783264,-1.2699240937829015,0.018798828125,0.8845299482345581,0.2,0.0251563359051942,0.0033514095,0.0003,21,Cand_B3_100k,129.335,96.6725
1308,51200,39,1799.0,-36.25427307142857,25,0.1846151093253865,234.0,0.8553056716918945,0.0003491050185402,-1.2630774784833192,0.034130859375,0.901100754737854,0.2,0.1543623358011245,0.003308775,0.0003,21,Cand_B3_100k,129.335,96.6725
1302,53248,40,1799.0,-35.138446448275864,26,0.1674087880644947,244.0,0.8425672650337219,-0.0010105942368682,-1.254792946949601,0.02744140625,0.8917748928070068,0.2,0.0449984110891819,0.0031881407,0.0003,21,Cand_B3_100k,129.335,96.6725
1297,55296,42,1799.0,-34.00116056666666,27,0.2427348286146298,254.0,0.81483393907547,-0.0006657552548858,-1.230079773068428,0.012353515625,0.8832929134368896,0.2,0.1165929436683654,0.0044260733,0.0003,21,Cand_B3_100k,129.335,96.6725
1295,57344,44,1799.0,-32.98883903225806,28,0.1532312745926901,264.0,0.7991166710853577,-0.0009518942490103,-1.2034003008157017,0.03603515625,0.84873366355896,0.2,0.0302901901304721,0.00354855,0.0003,21,Cand_B3_100k,129.335,96.6725
1306,59392,45,1799.0,-30.953823424242422,29,0.1511095792732455,269.0,0.7987399101257324,0.00047238739012,-1.1942134253628605,0.0269886363636363,0.8714009523391724,0.2,0.1337030529975891,0.0048074177,0.0003,21,Cand_B3_100k,129.335,96.6725
1305,61440,47,1799.0,-30.04356417647059,30,0.255948496167548,279.0,0.797558069229126,-0.0002732803288381,-1.1932911220937967,0.016357421875,0.868051290512085,0.2,0.0919241607189178,0.0020664972,0.0003,21,Cand_B3_100k,129.335,96.6725
