experiment,seed,total_steps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/episodes_in_chunk,rollout/total_episodes,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/std,train/chunk_stress_fraction,train/chunk_mean_ambient_c,rc_progress,rc_temp_penalty,rc_safety_penalty,rc_overrequest_penalty,rc_smoothness_penalty,rc_time_penalty,rc_thermal_reward,rc_target_reached_bonus,rc_terminal_shortfall_penalty,rc_overvoltage_penalty,rc_overtemperature_penalty
exp_c_highambient,21,32768,-215.390015,3790.5,2.0,7.0,0.0030210968,0.030405405405405407,-1.3825930292541917,0.5463434457778931,9.32797795050853,-0.003955265255393209,0.9640102386474609,0.0,21.26166231274715,0.21580431338332756,0.0,0.030319478022776247,0.011366957852012619,0.17971502991038077,0.050000000000007185,0.0,0.01220703125,0.0,0.0,0.0
exp_c_highambient,21,40960,-108.71632433333332,3344.0,3.0,10.0,0.009627821,0.09675082781456953,-1.3793323916315243,0.5992752313613892,20.27633077024624,-0.004489625676146505,0.9559948444366455,0.0,21.350409409727916,0.2327705384228389,0.0,0.04615486657954345,0.01727187562478552,0.16803410772667152,0.050000000000007185,0.0013929600673184845,0.018310546875,0.0,0.0,0.0
exp_c_highambient,21,49152,-30.986501,3161.0,2.0,12.0,0.0031063503,0.0301025390625,-1.3711960381828248,0.7993595600128174,19.023939398117363,-0.0018446446829329943,0.9526947736740112,0.0,26.07768626350351,0.24366821841746797,0.08635395397193067,0.05849443629081838,0.0225757914549609,0.1552084779566561,0.050000000000007185,0.15761808576736983,0.01220703125,0.0,0.0,0.0
exp_c_highambient,21,57344,-806.5924793333332,3242.3333333333335,3.0,15.0,0.0030272591,0.029529816513761468,-1.369425881893263,0.8262419700622559,25.26410843582328,-0.001732703163758467,0.950259804725647,0.3333333333333333,28.95758338335627,0.24997190913840076,0.012566198405659644,0.04606041134643556,0.017387327897324202,0.14809818378950917,0.050000000000007185,0.013083738014362623,0.018310546875,0.0,0.0,0.0
exp_c_highambient,42,8192,-432.855755,4186.0,1.0,1.0,0.0038719887,0.04317434210526316,-1.4160162524173134,0.0046346187591552734,4.294944353793797,-0.006712010718489948,0.9946659207344055,0.0,32.171958398227645,0.18267636214450242,0.0,0.014162062253834002,0.005248930607277905,0.20350350976756337,0.050000000000007185,0.02214283752025324,0.006103515625,0.0,0.0,0.0
exp_c_highambient,42,16384,-434.56792199999995,3911.0,3.0,4.0,0.004939016,0.06661184210526316,-1.4108141158756458,0.014384746551513672,17.719529879720586,-0.004909871244116833,0.9891507029533386,0.0,28.53667315440602,0.20272600530985166,0.0,0.04856673047608327,0.018282760814845526,0.19364504466360666,0.050000000000007185,0.019108652896548388,0.018310546875,0.0,0.0,0.0
exp_c_highambient,42,24576,-362.226707,3241.0,2.0,6.0,0.0031240592,0.03333333333333333,-1.4004275759061178,0.03245061635971069,14.875238942106565,-0.0025368716257313886,0.9716309309005737,0.5,29.75322826879419,0.22168107874567955,0.0011813468178345052,0.035935626086125924,0.013660578966824282,0.1891094642785178,0.050000000000007185,0.03496906302822868,0.01220703125,0.0,0.0,0.0
exp_c_highambient,42,32768,-168.448928,3098.0,3.0,9.0,0.0061189034,0.026834952731092435,-1.3730368656771523,0.0413472056388855,23.859404280406086,-0.003070462079075001,0.9461647868156433,0.0,29.119532434230706,0.24125964512677123,0.019976503510930804,0.05683025255779389,0.021483269521142826,0.17392628255281622,0.050000000000007185,0.054659250181951224,0.018310546875,0.0,0.0,0.0
exp_c_highambient,42,40960,-983.2010853333333,2960.6666666666665,3.0,12.0,0.0036240509,0.0185791015625,-1.3615669715218246,0.5646404027938843,31.208253525756298,-0.002273271923331777,0.941476047039032,0.3333333333333333,27.378807958957765,0.2515299983256206,0.08706595545270825,0.10105884486017333,0.039059435801722595,0.1512207324183877,0.050000000000007185,0.1420061846636645,0.018310546875,0.0,0.0,0.0
exp_c_highambient,42,49152,-367.09140349999996,3021.5,2.0,14.0,0.008703818,0.0472027972027972,-1.3540474222256587,0.8263852596282959,14.016652871782963,-0.002370702485404127,0.9324333667755127,0.5,34.4613287058328,0.25237450627041497,0.017274552741015442,0.031636443492692935,0.01192248522042106,0.15690035036048616,0.050000000000007185,0.07552961715794483,0.01220703125,0.0,0.0,0.0
