seed,total_steps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/episodes_in_chunk,rollout/total_episodes,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/std,experiment
7,45056,-44.1937255,1799.0,2.0,25.0,0.0020624374,0.020068359375,-1.229646572098136,0.9373708963394165,0.37538317809812727,-0.0007398754016321619,0.8190577030181885,driving_ppo_stageQ
7,47104,-42.47967,1799.0,1.0,26.0,0.0072648874,0.022372159090909092,-1.2167086438699202,0.9492524266242981,0.27232773339545185,-0.0023154019092378967,0.8149867653846741,driving_ppo_stageQ
7,49152,-43.348463,1799.0,1.0,27.0,0.0018233794,0.016015625,-1.217253166437149,0.9476027488708496,0.2528823715634644,-1.646653836360201e-05,0.8181005716323853,driving_ppo_stageQ
7,51200,-43.3979,1799.0,1.0,28.0,0.0031318935,0.013818359375,-1.2034641638398171,0.9556156992912292,0.2067480085301213,0.00012991452967980877,0.7959882020950317,driving_ppo_stageQ
21,2048,-89.510546,1799.0,1.0,1.0,0.0047519337,0.034912109375,-1.4292737677693368,-0.11742508411407471,0.639833761472255,-0.0032438815833302215,1.0207830667495728,driving_ppo_stageQ
21,4096,-79.72469,1799.0,1.0,2.0,0.002236349,0.007275390625,-1.4422712422907353,0.7288429737091064,0.4089237331412733,-0.0011868747700646055,1.0266412496566772,driving_ppo_stageQ
21,6144,-90.008459,1799.0,1.0,3.0,0.0032291822,0.028759765625,-1.4495120130479335,0.7597982883453369,0.8449829582124948,-0.003610787225625245,1.0349652767181396,driving_ppo_stageQ
21,8192,-85.289649,1799.0,1.0,4.0,0.0036497256,0.01220703125,-1.4537355929613114,0.8526501059532166,0.80022157067433,-0.0013653990732564124,1.033738613128662,driving_ppo_stageQ
21,10240,-82.031323,1799.0,1.0,5.0,0.0021884486,0.01455078125,-1.4493319489061833,0.8746351003646851,0.855671736691147,-0.0016571132364333607,1.0295895338058472,driving_ppo_stageQ
21,12288,-74.594216,1799.0,1.0,6.0,0.0030320263,0.033740234375,-1.443913869932294,0.8615720272064209,0.9471258163452149,-0.004452337462862488,1.0226560831069946,driving_ppo_stageQ
21,14336,-75.358956,1799.0,1.0,7.0,0.0021519698,0.010693359375,-1.4380296140909195,0.8951424360275269,1.1746765184216201,-0.0006599482676392654,1.0155858993530273,driving_ppo_stageQ
21,16384,-70.7972505,1799.0,2.0,9.0,0.0063252635,0.0484375,-1.4354107461869716,0.8946203589439392,0.8742347247898579,-0.00446780186612159,1.0139813423156738,driving_ppo_stageQ
21,18432,-66.147041,1799.0,1.0,10.0,0.0010557564,0.006982421875,-1.4372609559446574,0.9139168858528137,0.70336625976488,0.00013075160313746892,1.0231385231018066,driving_ppo_stageQ
21,20480,-62.296811,1799.0,1.0,11.0,0.00059594424,0.001220703125,-1.4316149566322565,0.9140884280204773,0.6465877543669194,-0.00018090257144649514,1.002518653869629,driving_ppo_stageQ
21,22528,-62.408021,1799.0,1.0,12.0,0.0038068546,0.015966796875,-1.4180407900363208,0.9214301109313965,0.6547015527728945,-0.0008330239979841281,0.9963076710700989,driving_ppo_stageQ
21,24576,-60.601384,1799.0,1.0,13.0,0.0050422098,0.030224609375,-1.4074068490415812,0.9119104146957397,0.6079805147834122,-0.001737566829251591,0.9822293519973755,driving_ppo_stageQ
21,26624,-56.385678,1799.0,1.0,14.0,0.0059151556,0.03391768292682927,-1.4009439770768328,0.9050025343894958,0.6111133482034613,-0.0018889688909417245,0.9809396266937256,driving_ppo_stageQ
21,28672,-57.047682,1799.0,1.0,15.0,0.0042059408,0.035205078125,-1.3909990437328816,0.9487424492835999,0.5165005031507462,-0.0027070545198512263,0.9688993692398071,driving_ppo_stageQ
21,30720,-50.510463,1799.0,2.0,17.0,0.0041714236,0.03955078125,-1.3832337763160467,0.9015136361122131,0.5148787423735485,-0.0033190449357789475,0.9603516459465027,driving_ppo_stageQ
21,32768,-49.159293,1799.0,1.0,18.0,0.010910905,0.04818658759124088,-1.3694431116111088,0.9362964034080505,0.36341357426921816,-0.003151431306686769,0.9476911425590515,driving_ppo_stageQ
21,34816,-46.759075,1799.0,1.0,19.0,0.002944256,0.035791015625,-1.352812309190631,0.9329456686973572,0.30648020724765956,-0.0032637580879963934,0.9297784566879272,driving_ppo_stageQ
21,36864,-42.901654,1799.0,1.0,20.0,0.0033555296,0.033544921875,-1.3299367047846318,0.9416242837905884,0.26519425364676863,-0.004636806546477601,0.9051392674446106,driving_ppo_stageQ
21,38912,-41.368259,1799.0,1.0,21.0,0.0042073037,0.040283203125,-1.3022639025002718,0.9341250061988831,0.21517035095021128,-0.002098483024747111,0.879278838634491,driving_ppo_stageQ
21,40960,-36.851202,1799.0,1.0,22.0,0.002351346,0.021044921875,-1.2931852340698242,0.9359652400016785,0.17071293359622358,-0.0020160342930466866,0.8846328854560852,driving_ppo_stageQ
21,43008,-38.063749,1799.0,1.0,23.0,0.004270825,0.019970703125,-1.2803319260478019,0.9624568819999695,0.15641761637525634,-0.0012541743693873287,0.8571745157241821,driving_ppo_stageQ
21,45056,-35.8704575,1799.0,2.0,25.0,0.0045499634,0.041552734375,-1.2486384697258472,0.9478816986083984,0.18419080674648286,-0.0046792786393780265,0.8331747651100159,driving_ppo_stageQ
21,47104,-33.262919,1799.0,1.0,26.0,0.004741088,0.03330078125,-1.2283111426979303,0.9508150815963745,0.0998319226608146,-0.0006511016661534085,0.8206394910812378,driving_ppo_stageQ
21,49152,-31.969148,1799.0,1.0,27.0,0.0010904433,0.01162109375,-1.2190476439893245,0.9599475860595703,0.10004732731031254,0.0002643555879330961,0.8182495832443237,driving_ppo_stageQ
21,51200,-32.938359,1799.0,1.0,28.0,0.005095972,0.03955078125,-1.2137606859207153,0.9609425067901611,0.09414975753752515,-0.002687065277132206,0.8115879893302917,driving_ppo_stageQ
42,2048,-93.07183,1799.0,1.0,1.0,0.0043193405,0.03818359375,-1.4296510938555003,0.11211752891540527,0.6747717200778425,-0.004605030530365184,1.0198806524276733,driving_ppo_stageQ
42,4096,-83.721175,1799.0,1.0,2.0,0.0018725033,0.012109375,-1.4473499655723572,0.6912064552307129,0.5201418961398303,-0.0015104442281881347,1.034834623336792,driving_ppo_stageQ
42,6144,-79.904375,1799.0,1.0,3.0,0.002680936,0.013330078125,-1.4545080069452525,0.8288691639900208,0.6702656764071435,-0.0015357324184151367,1.0391114950180054,driving_ppo_stageQ
42,8192,-75.259754,1799.0,1.0,4.0,0.0019992264,0.006591796875,-1.4554586578160524,0.8612079620361328,0.721544964518398,-0.0007171927471063099,1.0378834009170532,driving_ppo_stageQ
42,10240,-69.889557,1799.0,1.0,5.0,0.0034140283,0.046484375,-1.4534914296120405,0.8646016120910645,0.8157655083574354,-0.005540484709490557,1.033647894859314,driving_ppo_stageQ
42,12288,-66.404322,1799.0,1.0,6.0,0.0025169675,0.01533203125,-1.453193438798189,0.8931735157966614,0.6372286477126181,-0.00016238248863373884,1.0378024578094482,driving_ppo_stageQ
42,14336,-66.554083,1799.0,1.0,7.0,0.004646902,0.021435546875,-1.4534041933715343,0.9087647795677185,0.8591085101477802,-0.0017089157976442949,1.0315141677856445,driving_ppo_stageQ
42,16384,-65.12778,1799.0,2.0,9.0,0.0026068748,0.03212890625,-1.4486601371318102,0.9109947085380554,0.6113950289785862,-0.0013090486478176898,1.029963493347168,driving_ppo_stageQ
42,18432,-58.095705,1799.0,1.0,10.0,0.0031826207,0.047900390625,-1.4413175825029612,0.9027718305587769,0.5616079921834171,-0.004936461300530937,1.0189746618270874,driving_ppo_stageQ
42,20480,-56.035366,1799.0,1.0,11.0,0.0055564046,0.02412109375,-1.429477621614933,0.9139270782470703,0.48636593981646004,-0.002676179358968511,1.002988576889038,driving_ppo_stageQ
42,22528,-51.508564,1799.0,1.0,12.0,0.008338089,0.05017361111111111,-1.4095971244352836,0.9096963405609131,0.44611390459316747,-0.005042581749148667,0.9823969602584839,driving_ppo_stageQ
42,24576,-45.369494,1799.0,1.0,13.0,0.0031100032,0.0400390625,-1.3878340806812048,0.9095838665962219,0.45964888501912354,-0.0032480323563504497,0.9606188535690308,driving_ppo_stageQ
42,26624,-43.59588,1799.0,1.0,14.0,0.00449731,0.031396484375,-1.3730907198041677,0.9319378733634949,0.33633106120396405,-0.0021115468261996284,0.950944185256958,driving_ppo_stageQ
42,28672,-44.454955,1799.0,1.0,15.0,0.00432689,0.027021215596330275,-1.360480700064143,0.9486700296401978,0.292270250345042,-0.0012710180225431783,0.9351237416267395,driving_ppo_stageQ
42,30720,-38.47333,1799.0,2.0,17.0,0.004687973,0.020241477272727272,-1.345759078860283,0.9145228266716003,0.3417510021139275,-0.0006422088137531483,0.9234194159507751,driving_ppo_stageQ
42,32768,-39.089981,1799.0,1.0,18.0,0.0024145213,0.012841796875,-1.32674618139863,0.946613073348999,0.22450238700257613,-0.0003355594904860482,0.9047372937202454,driving_ppo_stageQ
42,34816,-39.812445,1799.0,1.0,19.0,0.006379881,0.046044921875,-1.3053663052618503,0.9416781663894653,0.21067325742915272,-0.0019643934501800686,0.8831129670143127,driving_ppo_stageQ
42,36864,-39.117223,1799.0,1.0,20.0,0.005786568,0.0462890625,-1.291398885846138,0.9505459070205688,0.1670600595534779,-0.002304404186725151,0.8761960864067078,driving_ppo_stageQ
42,38912,-36.087749,1799.0,1.0,21.0,0.004797237,0.03994140625,-1.2863503251224757,0.9330337643623352,0.18621565741486848,-0.0011930211338039953,0.8754316568374634,driving_ppo_stageQ
42,40960,-33.657496,1799.0,1.0,22.0,0.004979192,0.05482954545454546,-1.2822504086927935,0.9459012150764465,0.1800188120115887,-0.004490003209899772,0.867652177810669,driving_ppo_stageQ
42,43008,-31.949643,1799.0,1.0,23.0,0.0052541774,0.0208984375,-1.2741996079683304,0.949747622013092,0.19725755136460066,-0.00014309200050774962,0.8636141419410706,driving_ppo_stageQ
42,45056,-31.849326,1799.0,2.0,25.0,0.0025560863,0.030615234375,-1.2713509522378446,0.9457445740699768,0.17208606752101333,-0.0001933859646669589,0.8643208146095276,driving_ppo_stageQ
42,47104,-29.981756,1799.0,1.0,26.0,0.002873074,0.023291015625,-1.2769420634955169,0.9450176358222961,0.12559918842744083,-0.0006620714219025103,0.8700379133224487,driving_ppo_stageQ
42,49152,-29.95395,1799.0,1.0,27.0,0.0030869585,0.0138671875,-1.2773786209523679,0.9544792175292969,0.09046805083635263,0.00035818048345390705,0.862819492816925,driving_ppo_stageQ
42,51200,-30.509137,1799.0,1.0,28.0,0.0055443076,0.06770833333333333,-1.271032902929518,0.9500189423561096,0.12549718469381332,-0.0037621307290262645,0.8621278405189514,driving_ppo_stageQ
