time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/std,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/loss,seed,candidate,sanity_check_wh_per_km,sanity_check_regen_pct
28672,-56.3474988,14,1799.0,21,1326,0.2,0.02978515625,-1.4409766491502525,-0.0026410858947201,1.0179224014282229,0.8830364346504211,0.0003,0.5538823885377496,0.005115373,130.0,0.6128327250480652,21,Cand_B3_100k,129.335,96.6725
30720,-53.027404058823535,15,1799.0,23,1321,0.2,0.03486328125,-1.4307683043181896,-0.0030609365407144,1.0056729316711426,0.9350349307060242,0.0003,0.4205548774451017,0.0035794587,140.0,0.1180594712495803,21,Cand_B3_100k,129.335,96.6725
32768,-51.4649603888889,16,1799.0,24,1316,0.2,0.028515625,-1.4216951463371514,-0.0034024193249933,1.0002992153167725,0.8768894672393799,0.0003,0.4167766416445374,0.0041740863,150.0,0.105155199766159,21,Cand_B3_100k,129.335,96.6725
34816,-49.76587231578948,17,1799.0,26,1304,0.2,0.029541015625,-1.4095689304172994,-0.0023538220542832,0.9825902581214904,0.9135072827339172,0.0003,0.3011149105150252,0.0050487965,160.0,0.076268084347248,21,Cand_B3_100k,129.335,96.6725
36864,-48.17554435,18,1799.0,28,1301,0.2,0.03642578125,-1.393608882278204,-0.0030233214922191,0.9655435085296632,0.8966810703277588,0.0003,0.2927801038604229,0.0022829268,170.0,0.1353057473897934,21,Cand_B3_100k,129.335,96.6725
38912,-46.46716928571429,19,1799.0,29,1306,0.2,0.043560606060606,-1.3699414214014491,-0.0051586341568434,0.940235435962677,0.916208267211914,0.0003,0.2455817019462069,0.009463599,178.0,0.0941378325223922,21,Cand_B3_100k,129.335,96.6725
40960,-44.824223454545454,20,1799.0,31,1303,0.2,0.03203125,-1.340921250358224,-0.0022016912909748,0.9117511510849,0.8611058592796326,0.0003,0.2816868830937892,0.004882738,188.0,0.1744810789823532,21,Cand_B3_100k,129.335,96.6725
43008,-43.20699547826087,21,1799.0,32,1305,0.2,0.036328125,-1.3214359752833844,-0.0024589799431851,0.902742326259613,0.8861494660377502,0.0003,0.2084751185029745,0.0029967367,198.0,0.0334246009588241,21,Cand_B3_100k,129.335,96.6725
45056,-40.25219676,22,1799.0,34,1317,0.2,0.0212115921787709,-1.3101412530717902,-0.0006242326419155,0.8912762999534607,0.9194518327713012,0.0003,0.2081303390252856,0.0069296234,204.0,0.0681700855493545,21,Cand_B3_100k,129.335,96.6725
47104,-38.86792865384616,23,1799.0,35,1317,0.2,0.044482421875,-1.289046256244183,-0.0036260395565477,0.8674769401550293,0.8807141184806824,0.0003,0.2712791787227616,0.0028949152,214.0,0.1408577114343643,21,Cand_B3_100k,129.335,96.6725
49152,-37.51191785185185,24,1799.0,37,1315,0.2,0.018798828125,-1.2699240937829015,-0.0010646644783264,0.8556537628173828,0.8845299482345581,0.0003,0.1573540021665394,0.0033514095,224.0,0.0251563359051942,21,Cand_B3_100k,129.335,96.6725
51200,-36.25427307142857,25,1799.0,39,1308,0.2,0.034130859375,-1.2630774784833192,0.0003491050185402,0.8553056716918945,0.901100754737854,0.0003,0.1846151093253865,0.003308775,234.0,0.1543623358011245,21,Cand_B3_100k,129.335,96.6725
53248,-35.138446448275864,26,1799.0,40,1302,0.2,0.02744140625,-1.254792946949601,-0.0010105942368682,0.8425672650337219,0.8917748928070068,0.0003,0.1674087880644947,0.0031881407,244.0,0.0449984110891819,21,Cand_B3_100k,129.335,96.6725
55296,-34.00116056666666,27,1799.0,42,1297,0.2,0.012353515625,-1.230079773068428,-0.0006657552548858,0.81483393907547,0.8832929134368896,0.0003,0.2427348286146298,0.0044260733,254.0,0.1165929436683654,21,Cand_B3_100k,129.335,96.6725
57344,-32.98883903225806,28,1799.0,44,1295,0.2,0.03603515625,-1.2034003008157017,-0.0009518942490103,0.7991166710853577,0.84873366355896,0.0003,0.1532312745926901,0.00354855,264.0,0.0302901901304721,21,Cand_B3_100k,129.335,96.6725
59392,-30.953823424242422,29,1799.0,45,1306,0.2,0.0269886363636363,-1.1942134253628605,0.00047238739012,0.7987399101257324,0.8714009523391724,0.0003,0.1511095792732455,0.0048074177,269.0,0.1337030529975891,21,Cand_B3_100k,129.335,96.6725
61440,-30.04356417647059,30,1799.0,47,1305,0.2,0.016357421875,-1.1932911220937967,-0.0002732803288381,0.797558069229126,0.868051290512085,0.0003,0.255948496167548,0.0020664972,279.0,0.0919241607189178,21,Cand_B3_100k,129.335,96.6725
63488,-29.180338114285718,31,1799.0,48,1307,0.2,0.0440051020408163,-1.1815150888598696,-0.0016333093077932,0.7803293466567993,0.8885049819946289,0.0003,0.1445514472619611,0.0056645516,287.0,0.0578238181769847,21,Cand_B3_100k,129.335,96.6725
65536,-28.315754055555555,32,1799.0,49,1318,0.2,0.0310952970297029,-1.1687433094081312,0.0015164571952554,0.7768855690956116,0.8977664709091187,0.0003,0.1351618902333597,0.011513918,291.0,0.0753151029348373,21,Cand_B3_100k,129.335,96.6725
67584,-27.50499262162162,33,1799.0,51,1315,0.2,0.02998046875,-1.168859188631177,5.77036349568516e-05,0.7815534472465515,0.8899046182632446,0.0003,0.1727245858986862,0.0025059907,301.0,0.0598510950803756,21,Cand_B3_100k,129.335,96.6725
69632,-26.797148473684206,34,1799.0,52,1313,0.2,0.021435546875,-1.1703783620148898,0.0007530582515755,0.7794473171234131,0.8948388695716858,0.0003,0.1734290316933766,0.0012343121,311.0,0.1790673285722732,21,Cand_B3_100k,129.335,96.6725
71680,-26.0767311025641,35,1799.0,54,1312,0.2,0.0298828125,-1.1675254918634892,-0.0002863300102035,0.7759982943534851,0.8514900207519531,0.0003,0.1409588638343848,0.0027598816,321.0,0.0474426001310348,21,Cand_B3_100k,129.335,96.6725
73728,-25.373153,36,1799.0,55,1319,0.2,0.0633445945945946,-1.1591860080087506,-0.0022162092657684,0.7657408118247986,0.9084330797195436,0.0003,0.1622603698256048,0.0076785884,326.0,0.131988376379013,21,Cand_B3_100k,129.335,96.6725
75776,-24.058463904761908,37,1799.0,57,1316,0.2,0.02783203125,-1.1537242341786622,-0.0013103201134072,0.7706789374351501,0.9129971265792848,0.0003,0.1749079643283039,0.0033826297,336.0,0.0346290208399295,21,Cand_B3_100k,129.335,96.6725
77824,-23.424184674418605,38,1799.0,58,1325,0.2,0.0408266129032258,-1.152815495767901,-0.0025468626559051,0.7634717226028442,0.9002993702888489,0.0003,0.133767326542687,0.005535295,340.0,0.0528704300522804,21,Cand_B3_100k,129.335,96.6725
79872,-22.816184045454545,39,1799.0,60,1324,0.2,0.037451171875,-1.137924537062645,-0.0014700003011967,0.7478188872337341,0.9117920994758606,0.0003,0.118850443145493,0.0039269356,350.0,0.0324158445000648,21,Cand_B3_100k,129.335,96.6725
81920,-22.2145838,40,1799.0,61,1323,0.2,0.0429956896551724,-1.129872541592039,-0.0022549352319589,0.7498947381973267,0.8976082801818848,0.0003,0.1344669333691227,0.0142718125,360.0,0.0393971763551235,21,Cand_B3_100k,129.335,96.6725
83968,-21.644815043478264,41,1799.0,63,1322,0.2,0.0171875,-1.1250283673405648,0.0005029115258366,0.7413327693939209,0.9129638671875,0.0003,0.1643402942456305,0.003268077,370.0,0.0594104714691638,21,Cand_B3_100k,129.335,96.6725
86016,-21.09323719148936,42,1799.0,64,1324,0.2,0.0283700980392156,-1.1101860144559077,-0.0005080350172505,0.7263727188110352,0.926863729953766,0.0003,0.1323724290903876,0.0036673383,378.0,0.1021820679306984,21,Cand_B3_100k,129.335,96.6725
88064,-20.56454408333333,43,1799.0,66,1327,0.2,0.0362442922374429,-1.0974515164823837,-0.0001006111477131,0.7226505279541016,0.8905085921287537,0.0003,0.1367802040898092,0.0041625206,385.0,0.1008439883589744,21,Cand_B3_100k,129.335,96.6725
90112,-19.55377338,44,1799.0,68,1325,0.2,0.0203125,-1.0922276500612498,0.0009816881440201,0.7192073464393616,0.9112344980239868,0.0003,0.1897837135242298,0.004227225,395.0,0.0509472787380218,21,Cand_B3_100k,129.335,96.6725
92160,-19.090716607843135,45,1799.0,69,1335,0.2,0.0446428571428571,-1.0893727575029646,0.0021705385297536,0.7192941308021545,0.9149348735809326,0.0003,0.1663003440414156,0.013124597,397.0,0.1016831398010253,21,Cand_B3_100k,129.335,96.6725
94208,-18.647343576923078,46,1799.0,70,1345,0.2,0.0460668103448275,-1.0879615853572715,0.0017745598853597,0.7176045179367065,0.9375286102294922,0.0003,0.1061184284887437,0.0037811361,399.0,0.0828154534101486,21,Cand_B3_100k,129.335,96.6725
96256,-18.194841886792453,47,1799.0,71,1343,0.2,0.0344809322033898,-1.0779384899947604,0.0007606729328379,0.7046528458595276,0.935620903968811,0.0003,0.1213297932961229,0.011522343,409.0,0.0108645325526595,21,Cand_B3_100k,129.335,96.6725
98304,-17.755060814814815,48,1799.0,72,1346,0.2,0.0301486784140969,-1.0651929110682483,0.001027432629338,0.6995643973350525,0.9424388408660888,0.0003,0.1130313554179694,0.012754674,417.0,0.0278892591595649,21,Cand_B3_100k,129.335,96.6725
100352,-17.339397745454544,49,1799.0,74,1352,0.2,0.0429406474820143,-1.0658942469590005,-0.001939589837767,0.7059359550476074,0.8691490888595581,0.0003,0.1939787805723629,0.009741769,422.0,0.1015215963125228,21,Cand_B3_100k,129.335,96.6725
