time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/learning_rate,train/explained_variance,train/value_loss
90112,66,3102.9310344827586,-385.51220665517246,11,1365,-0.002077677989077261,0.9320939183235168,0.04940257352941176,-1.349785038653542,0.2,6.255844593048096,0.0039428873,43,0.00027542399999999997,0.9078126549720764,26.50576291364782
98304,72,3024.84375,-348.86822878124997,12,1363,-0.00029268662633729123,0.9181687831878662,0.031839037698412696,-1.341933059550467,0.2,69.59799194335938,0.004358368,47,0.0002729664,0.8645246624946594,34.04083978964223
106496,77,2938.1111111111113,-334.2264431666666,13,1366,-0.00034790364059856713,0.9152339100837708,0.015501968503937008,-1.3325236050162728,0.2,5.509780406951904,0.0018065455,50,0.0002705088,0.9049263596534729,31.451095309783156
114688,86,2903.6923076923076,-371.621088051282,14,1330,-0.0011905152819963404,0.9040402770042419,0.0182861328125,-1.3234610613435507,0.2,36.06608200073242,0.0033624782,60,0.00026805119999999996,0.9056826829910278,45.07605108991265
122880,92,2900.7380952380954,-494.63138204761907,15,1332,-0.0021359469371056683,0.9091567397117615,0.02926747311827957,-1.319432940278002,0.2,47.89042282104492,0.0035775723,64,0.0002655936,0.9253163933753967,61.443842065462505
131072,97,2871.5555555555557,-452.1393538666667,16,1344,-0.005640580990335106,0.9135556221008301,0.06005859375,-1.3260225462062019,0.2,10.457807540893555,0.005283484,66,0.00026313599999999997,0.9640475511550903,58.92951651130404
139264,103,2815.0204081632655,-385.8682062244898,17,1351,-0.0031034580493966737,0.9053434729576111,0.05395833333333333,-1.324150961637497,0.2,3.572136878967285,0.00644543,69,0.0002606784,0.9600206613540649,31.753236865997316
147456,108,2776.3207547169814,-330.2630486603774,18,1363,-0.00035199366331978787,0.9019622802734375,0.024517276422764227,-1.3178411828793162,0.2,36.606048583984375,0.0025403642,70,0.0002582208,0.9320361614227295,43.48049341953867
155648,115,2804.581818181818,-399.6372749454546,19,1345,-0.00046522804959499953,0.8856130242347717,0.029201902748414377,-1.3021087308766726,0.2,14.558036804199219,0.0063375984,78,0.00025576319999999996,0.9385173320770264,35.77388940427066
163840,120,2771.2413793103447,-356.3898483448276,20,1356,-0.0041436220302658025,0.8895485401153564,0.06417151162790698,-1.2988369403883469,0.2,19.481168746948242,0.0065230336,80,0.0002533056,0.9690394401550293,45.054662096777626
172032,125,2773.8870967741937,-367.0867352096774,21,1367,-0.002623712911695657,0.8934834599494934,0.047473867595818814,-1.3037351884908377,0.2,5.701412200927734,0.008081718,83,0.00025084799999999997,0.9785168766975403,36.198467219748146
180224,131,2791.0158730158732,-372.11239057142853,22,1375,-0.0019464861339482363,0.8835530281066895,0.03457148203592814,-1.2987602481585063,0.2,3.5335779190063477,0.0034201974,86,0.0002483904,0.9646294713020325,37.20780840962233
188416,135,2841.0151515151515,-383.52815469696975,23,1389,-0.00016923491737895434,0.8833401799201965,0.018775201612903226,-1.2949540432422393,0.2,2.3675575256347656,0.0022600356,87,0.0002459328,0.9793136715888977,10.864452257271736
196608,140,2837.768115942029,-346.12579421739133,24,1402,0.0018267284971303665,0.8725034594535828,0.016626602564102564,-1.2899756118273125,0.2,19.242427825927734,0.00410401,89,0.00024347519999999998,0.9721189141273499,22.44747062638784
204800,144,2815.2083333333335,-311.7807184861111,25,1416,0.000614790734642547,0.8676544427871704,0.024793388429752067,-1.2791911097597484,0.2,1.7160338163375854,0.002792871,90,0.0002410176,0.9634909629821777,25.429136099894183
212992,149,2793.5066666666667,-281.3445234533333,26,1429,-0.001403707169717358,0.8661262392997742,0.07106854838709678,-1.276268155344071,0.2,4.953300952911377,0.0054309997,91,0.00023856,0.949883759021759,24.813346416719497
221184,153,2812.8333333333335,-291.1943207692307,27,1440,-0.002602954194522821,0.865261435508728,0.03485576923076923,-1.2744296275652371,0.2,17.5147705078125,0.0036017753,92,0.0002361024,0.9752267003059387,30.754868368002086
229376,158,2868.3670886075947,-332.63485502531637,28,1448,-0.00033855071181760114,0.8650515079498291,0.013589810924369748,-1.2749498656817846,0.2,55.216796875,0.0018344696,94,0.00023364479999999998,0.9611514210700989,31.096876352774995
237568,162,2926.703703703704,-373.1321375925926,29,1461,-0.003518447605893016,0.8648954033851624,0.03828125,-1.2739818513393402,0.2,3.9615747928619385,0.003373654,95,0.00023118719999999998,0.9601824879646301,10.80102081298828
245760,167,2934.6951219512193,-361.9927112682927,30,1469,-0.005717641573504633,0.8470152616500854,0.0779389880952381,-1.263111902134759,0.2,12.072591781616211,0.005547701,97,0.00022872959999999999,0.9892314672470093,15.411036090481849
253952,171,3006.0238095238096,-389.534505047619,31,1481,-0.0022402627489947037,0.8448907136917114,0.04040948275862069,-1.251592993736267,0.2,5.311154842376709,0.0037607744,98,0.000226272,0.990165650844574,10.247408151626587
262144,176,3055.364705882353,-399.91114545882346,32,1487,0.0003479498174918954,0.8376322388648987,0.027569731404958678,-1.2466626462857586,0.2,0.46171361207962036,0.0034775878,100,0.0002238144,0.9860883951187134,11.835230786938313
270336,181,3076.655172413793,-379.32076451724134,33,1486,-0.00013074791058897972,0.8087892532348633,0.029964953271028036,-1.2207688683661344,0.2,0.20176713168621063,0.0052763205,105,0.0002213568,0.9958930015563965,0.83506609652644
278528,186,3120.449438202247,-411.2845583932584,34,1493,-0.0002719127163392761,0.8062868714332581,0.03543374316939891,-1.2063721906943399,0.2,1.1589592695236206,0.002396421,107,0.00021889919999999998,0.9706674218177795,15.525960696199553
286720,191,3157.766666666667,-403.5467845111111,35,1499,-0.0066367739108093874,0.8050664067268372,0.08144946808510638,-1.2034065119763637,0.2,5.262466907501221,0.0069944705,109,0.00021644159999999998,0.9367360472679138,33.638355658409445
294912,196,3188.413043478261,-384.53070848913046,36,1497,-0.0018342805928080728,0.7979307770729065,0.04022362385321101,-1.1981751172914417,0.2,0.2257944941520691,0.006151468,114,0.000213984,0.9797834157943726,6.220078123094292
303104,204,3231.548387096774,-413.57076284946237,37,1483,-0.0006089288838040334,0.8003886938095093,0.039749109263657954,-1.1989436250589995,0.2,0.38734373450279236,0.005471137,124,0.00021152639999999997,0.973418116569519,10.436974006070095
311296,209,3240.744680851064,-404.6111607765958,38,1489,-0.0059982899110764265,0.7941524982452393,0.06366131756756757,-1.1925714402585417,0.2,4.319011688232422,0.0051075085,126,0.00020906879999999997,0.9962343573570251,2.5218347256650797
319488,213,3323.2291666666665,-446.28771317708333,39,1496,-0.007711029867225859,0.7889652252197266,0.08956473214285714,-1.1856510969144958,0.2,1.6051205396652222,0.0066462113,127,0.00020661119999999998,0.974000096321106,5.278513594131384
327680,217,3337.7319587628867,-437.9627677628866,40,1503,-0.002051967526009927,0.7867780327796936,0.0390625,-1.1803609351317088,0.2,0.17833682894706726,0.0034531243,128,0.00020415359999999998,0.9247633218765259,24.44401931973795
335872,223,3377.1428571428573,-454.2897157857143,41,1502,-0.00022182191021734456,0.7814340591430664,0.04002808988764045,-1.1761072135469122,0.2,0.4070831537246704,0.0039123083,133,0.000201696,0.9894035458564758,4.7309920327382144
344064,230,3415.757575757576,-450.6858747979798,42,1491,-0.0028699754534142856,0.7667694687843323,0.052845528455284556,-1.1632317244306598,0.2,238.2666778564453,0.006373889,142,0.0001992384,0.8906481266021729,32.72854925953222
352256,235,3453.6,-444.08316721999995,43,1496,0.0013941285613116852,0.7592373490333557,0.029841738197424892,-1.1490748030944955,0.2,0.03606365621089935,0.004190711,144,0.0001967808,0.9833328127861023,4.942600009315387
360448,239,3514.34,-399.7323247899999,44,1504,-0.005505079636350274,0.7576808929443359,0.06392045454545454,-1.142347357489846,0.2,1.7311182022094727,0.004857759,145,0.00019432319999999998,0.9959304332733154,1.0306033884937114
368640,243,3532.81,-371.2096291,45,1511,-0.0004999687983493866,0.7564600110054016,0.03987068965517242,-1.1409931470607888,0.2,0.4617241621017456,0.0029303015,146,0.00019186559999999998,0.9885680079460144,3.3648365366047828
376832,247,3562.32,-364.9337689299999,46,1519,0.0007062172889709473,0.7546573877334595,0.065625,-1.1384979343414308,0.2,0.1466464400291443,0.005284346,147,0.00018940799999999996,0.9835638403892517,6.383209507465363
385024,252,3594.29,-359.65235185,47,1526,-0.004429114884451816,0.7537492513656616,0.033717105263157895,-1.1368437064321417,0.2,0.1734841763973236,0.0031852145,148,0.00018695039999999996,0.998986542224884,0.6327082483392013
393216,256,3630.13,-354.60726576,48,1530,-0.0004909354639017866,0.7391188740730286,0.03757440476190476,-1.1262354836577462,0.2,0.09470866620540619,0.0028362344,150,0.00018449279999999997,0.9988892674446106,0.24939899358321868
401408,261,3670.55,-384.98909718999994,49,1535,-0.0021815176401287317,0.7399279475212097,0.030625,-1.1163904547691346,0.2,0.20665790140628815,0.005902045,152,0.00018203519999999997,0.9915022253990173,0.889136576751868
409600,266,3740.67,-393.58621698999997,50,1534,-0.00550104556262101,0.734714686870575,0.05335526315789474,-1.1140858765652306,0.2,0.30490854382514954,0.005386036,156,0.00017957759999999998,0.08817166090011597,222.50283673035472
417792,271,3781.04,-389.08431038,51,1539,-0.0009796709615599226,0.7329013347625732,0.059027777777777776,-1.1089989167672616,0.2,0.058891281485557556,0.01003014,158,0.00017711999999999998,0.7118847966194153,129.58090261209895
425984,275,3819.15,-388.55938096,52,1543,-0.0006805666209682106,0.7274560928344727,0.032301682692307696,-1.1044947533653333,0.2,0.15059523284435272,0.003098765,160,0.0001746624,0.9930803775787354,0.7034678156129442
434176,281,3859.25,-389.31758539000003,53,1543,-0.0031945115059787118,0.7230493426322937,0.026656189555125727,-1.0971737482100437,0.2,0.11262305825948715,0.013071587,165,0.00017220480000000002,0.5550457835197449,20.16799110197237
442368,285,3895.6,-386.1947482100001,54,1547,-0.002193214389047137,0.7224736213684082,0.04584619341563786,-1.0941501429051528,0.2,0.26935112476348877,0.0053600976,167,0.00016974719999999997,0.8081648349761963,76.06359661741512
450560,290,3925.29,-355.82771004,55,1550,-0.0018165122265074874,0.7190139293670654,0.031139964788732395,-1.0926207371161019,0.2,0.03650372102856636,0.005499843,169,0.00016728959999999998,0.9786336421966553,1.3725250046437896
